Epoch	Start	End	Bits	SHA256_hex	Chain_hex
0	0	2048	2048	a2abcb1fa8be15b750ea2fb4eb2342929c825eb7b4e64540f74f69af130d5034	1f0c88a5f8e1977c6a25f860cc8da958c0d7b0d7dbad6c8171ff6152b99b87cb
1	2048	4096	2048	9bb2e02cc814a5adcbbe4416cce25607de7f6d1af2f0b21ae8007ce5e494d92a	9d02e9620a729ada89cac661c2ae64cc5d5547ca90b1db383f816394d56d879f
2	4096	6144	2048	9c4368548affb1cb2010051f83598655d29cbbeae63df6a7b647817104c75e6a	45281e7071ec7429a1dafe53289e33b18ef862f36e484a77ea9f41cb2326d0a6
3	6144	8192	2048	e9a28b7ad5bb4b078b826ce5917fdc2d5feacc0096ec286def3d290f99c20449	fbe25bc0ace4b397a89dc43299346d551170f2938656541f18068084a00e5a2f
4	8192	10240	2048	9a0f62c760e07acdccfd3ef0073baf718c7a4e8349beaa9c95af8d6f89488bf8	9ca2ffa4b6232e56d19e17ad2522822a9e4be59dbd26abf25e2c1cd7ed9646ac
5	10240	12288	2048	66c0260401a00e5ea9a3ebe2a4fe65d1b2eb53163c5ec0f47503d5c25520a590	f74afa3968ba7f5fbe3d4698e1db6bad64b086e6851fa8e428eece3412989740
6	12288	14336	2048	864462466600e9fa4f4613998cb536c70f6dfe055b8df3d9193c6e3c6b7ddd9c	702152e588ceff061a6a102e660b867a1d01a5d21474e4471b31e422d49dbfe1
7	14336	16384	2048	f655b78610452a5e2ae0d3e400151d20539bcbbd51e245d05bb45ac077bff09e	4bb885eab17968e2038d1d7bece95d313b25d26da67d8427f1d9fb0f6e89cd20
8	16384	18432	2048	b2df0b49e330a7c0fd13525b61fe053b21c682378595e6a4000ca97d19b98a7f	c085c8e0acd36389e9cffb0d920f00bd157baf4d6ffcc2ce9968be08ba49e15f
9	18432	20480	2048	c662ff306285ece2fc4f6edf409ddc9a209db8b8064b00afd4797dace5445885	fa51a560d6e5cc915c63a9325eb110a27e8ef8a1bfba67f40487b3f9f8f5cfe3
10	20480	22528	2048	e876c1610f1cd0fb1e6682cca7b6181a07011052371d8cdb7e759a0f54f552d0	d6bee90fdab6461b5818ba9014ab1cc515266fef0bff64c9a79b9c9b95765a70
11	22528	24576	2048	1564ae5ca3616293cc5f13666c0b37acf6b7174c17770b9b438eb1ef34c1ca2e	1d77bf881d01afcfc0eb1139e6de6773738347d63d934abd65767691dee95e86
12	24576	26624	2048	a64c84d06978e50f634263f1c2b155637b1352eb9597567bbb8c0d14166bb5f7	fc7a2cab77b37dee21251f4e7a3432360dae6f6c17850d8ac558fa2175e2e354
13	26624	28672	2048	28b501e0b8b2ab9767ce9958c6825fd027a915e838a81f1d9c33d91262828282	70b9d1acf47bb4d963b63bc16596c7672f45d79904814e839276b1aa1f5e33b3
14	28672	30720	2048	a420f8bb5e3aecc86c861dff7a5359c2735202cabc2daf2eaac2bc1f210899f3	57047e7ec3c8fb2836884a9433699ee59742627fd66b0cfaea4088bde2b06587
15	30720	32768	2048	42902480094429ae05dcd5aceca96f7236bb7423b59392e6a0c022afca161104	a7d3959b2e7b57c6be5566fcdfeeb5a1009e3db42152810ff79811ae3987f327
16	32768	34816	2048	c9c41955c152f3c59162d1ab653663efc58a7a73867673fe2f6d2f4adec1b560	fdb10d007116ca2b1a1e5ad9c26ed46f775c7b4a81e9fc4bb3a1bcca63dfe981
17	34816	36864	2048	0e4e176ad196dfdcb14f62169cbd4c47052a0f8d84b4281fdb6e2eeb31122967	afd855db825bf5823454073bf7c7a47c4317d88b6dabc0cb33727bc649c5a120
18	36864	38912	2048	4f023226c64c7afc4ccef7255f72921bad048212579b2f828d006947441aad52	8dc088f01f22a7d4523f30a758cf2aec29cc5d97f917f9170b465803af38a442
19	38912	40960	2048	01ef79f1bf339939ac914901e66ad35623b465d5930dc79bfb252bcdfe0cf4bd	16c09c7d27aec693da35e29b6035052c5350b84d01a8ec211c1351c5a6d94b46
20	40960	43008	2048	003a1532373b154b4bbf7ecc5667c7ea1be9fca26d4b15e91598e38b4a0b360e	a25ec1fc4688dbd34dc385dbc85ed269eeaeb2985b98218232c4478155ea5364
21	43008	45056	2048	11ce6543f2693b567e59d35f816186dbb3c1c8a9f609722d54a0a22d2994e702	5dc6ed17ce364682af112aa35fbf30733d931433343c1acd8a8ce6e8b0979d2d
22	45056	47104	2048	482e2267681f38b69e2f3f0e68ffab00fc0e7f0fc8c10ca8c1636fe1d7955977	c68ca55a8d4883a9d5fc85932e9b9693fd9a7205a8fac9ff6cc14fa043a38e91
23	47104	49152	2048	4a9166becdd58ea774a7105e59ca9f5becf202072d53d26276f306d4adc5f7c0	39d66005eb1e2aa4065429bcb1d9594f85edc52aa93f60b6215df01141dae9a6
24	49152	51200	2048	0ba82f2a5b38cc466e794b657cbe9cc6a0bbba55663b4f0b4c94fd0036c2b1eb	6e26678c96c1a2a22670eafb5ed012871c434aa54a39ed3e5d677a101e068444
25	51200	53248	2048	ac1cc229bd75fb823cb51243e293a8b51f793d64c473509a85c9afcd6335a651	aae079ea3804d20d5a7f3d8d846d9da2a85e51319104efb1f016a2bd7d1aa63c
26	53248	55296	2048	d56d7305256a131de7da9548780d09c515dc2a032edf9d12f36983901b9f0c24	bcf6f5d93f4fe1fda0eb3942a936416ab624fc389e31faff717a009ca38190b2
27	55296	57344	2048	5c99ff12d2293b0796d3e8abbbde320d7bb5588f46f2028394b833166b494d39	f9364d6787d2f1eece543d9a68447d989a6ea93f82a81cd4782e2b3edd7a0b50
28	57344	59392	2048	a8bf7acc8c6f863169e07f0106ef15c03cc3ed4a3b443d3932b3d3182dc14ee5	aa84493e6b3f85de719964fd63131e0ba5fcda1d87fa84edc0acb96ca3303d8e
29	59392	61440	2048	b18f34c04b5a017fa58ecad2d2e71404909b6e1776f013b05e5377432309b34e	2ec92483e3ec29464298269d3a7d7439b589d8b4084078b283172388e9944ff6
30	61440	63488	2048	28eba4a3918764ad4603110395c0c26ced7c4b2a9d0edad5be1afd36f01f4ce7	9e02dc4564af04870d53c43b6bb4f91f515f17bd9af32eb82c08c172939a3fbd
31	63488	65536	2048	e037a33d3848600127d5117194666a0b4a1f2cd52bf787d9f785e79d90344d3f	208f03f1b93f325cf3da4b86c2ce3dd4b180edf743167adb6efdb65e6a270406
32	65536	67584	2048	1c8533492ab325f1facd06000cc5c9e133b907e24f08c5aca8077c728f385bcf	cc7124a499439f790959bd17fcd4519917b411c89cbb9437c63d7d86091bbf66
33	67584	69632	2048	f29027652f9b31decde6f19192aa39604949dbc5c5b7d61a719ff1be3c197be6	94011d81df6dc1514978fc0fb5f013a8001226f95e39b57ef5b023ea5a640110
34	69632	71680	2048	832558230b05cd340f8fca1f27b56291350e7f747d623a439dd2fb5507768854	18e0beb0a3dc113c82c8129432bc4fa0a1b0d9806cd9eda67b7f92683c4aed72
35	71680	73728	2048	18e4047e7185871ace35e41b6ea4bdc60b2880f2027c83663dc2fdbe9a674383	1afce3a712334fb91b1c2f73013cb911d078f3c2c11f5fb71dff6ece06ec5594
36	73728	75776	2048	301fe193dda2af8201022260e1a7d6505a50e478bb848fddf45e1e8bd8e0eed2	3d60d80ca5663dfe5da364fd63d677b5f705d71d811807be964c1e725afa51fe
37	75776	77824	2048	66be738bd60fb2482ed35cdb3d822752e19863b726b5e21a7d3bc1480c0f95e9	3eaed5e2f85e91b33bef6522d13e92d559cb81cee501b76552b1efafdc676025
38	77824	79872	2048	9f8d5b915218601f77ba857c1b7c89081f5dbe1aad076e4d6016596cf30bc08f	228cb99c09f3395ffd564a3eb8849522e66d1fde8fae0d38574e0c3956c2564a
39	79872	81920	2048	7f1ad75c0b4a2b43794a8b70ed1da6a652a270c4e4a9cfd493ea584d2dcfd3f1	f14b5ef5bb69b923c71758cd227a4bf0fce3ac6f47894ec28bad1abb4c41c92a
